updated_at,is_deleted,neo4j_id,id,ten_bo_mon
,,0,bm_0,BỘ MÔN CÔNG NGHỆ PHẦN MỀM
,,1,bm_1,BỘ MÔN HỆ THỐNG THÔNG TIN
1780887901763,,2,bm_2,BỘ MÔN MẠNG MÁY TÍNH VÀ TRUYỀN THÔNG
,False,323,bm_323,CÔNG NGHỆ PHẦN MỀM
,False,333,bm_333,HỆ THỐNG THÔNG TIN
