start_id,end_id,start_labels,rel_type,end_labels
16,238,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
16,239,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
16,240,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
16,241,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
16,242,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
17,104,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
17,186,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
17,195,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
17,291,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
18,258,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
18,259,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
20,63,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
20,151,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
20,152,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
20,153,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
20,154,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
20,155,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
20,156,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
21,126,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
21,127,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
21,245,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
21,246,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,128,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,129,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,131,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,133,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,134,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,137,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,138,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,139,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,140,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,141,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,142,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,143,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
