id,ten_truong,neo4j_id
tr_ky_thuat_cong_nghe,TRƯỜNG KỸ THUẬT VÀ CÔNG NGHỆ,226
tr_kinh_te_kinh_doanh,TRƯỜNG KINH TẾ VÀ KINH DOANH,227
tr_thuy_san_kh_su_song,TRƯỜNG THỦY SẢN VÀ KHOA HỌC SỰ SỐNG,324
