start_id,end_id,rel_type,end_labels,start_labels
196,129,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
196,140,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
197,129,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
197,131,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
197,140,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
198,129,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
198,131,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
198,140,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
198,141,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
198,142,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
199,130,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
200,130,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
201,144,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
203,146,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
204,151,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
205,151,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
205,153,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
206,151,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
206,153,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
206,154,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
207,152,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
208,152,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
209,152,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
210,152,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
211,152,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
211,156,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
212,153,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
212,154,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
213,154,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
214,155,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,48,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,51,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,52,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,53,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,56,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,57,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,58,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,59,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,90,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
305,91,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
306,52,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
312,228,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
312,229,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
313,228,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
313,229,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
320,274,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
321,269,DONG_TAC_GIA,DeTaiNghienCuu,TacGiaNgoai
325,258,DONG_TAC_GIA,CongTrinhNghienCuu,TacGiaNgoai
