neo4j_id,nam_bat_dau,id,link,created_at,nam_thuc_hien,nguoi_tao,nam_ket_thuc,ten_de_tai,trang_thai,cap_de_tai,ma_so,tom_tat
262,2024,dt_262,,,2024,,2024,"Xây dựng ứng dụng hỗ trợ công tác sinh viên Khoa Công nghệ Thông tin, Trường Đại học Nha Trang",Hoàn thành,Hướng dẫn sinh viên làm đề tài NCKH,,
263,2024,dt_263,,,2024,,2024,Ứng dụng thị giác máy tính xây dựng hệ thống cảnh báo trạng thái buồn ngủ khi lái xe,Hoàn thành,Hướng dẫn sinh viên làm đề tài NCKH,,
264,2024,dt_264,,,2024,,2024,Nghiên cứu ứng dụng mạng nơron trong hệ thống IoT để giám sát hành vi té ngã hỗ trợ cảnh báo đột qụy,Hoàn thành,Hướng dẫn sinh viên làm đề tài NCKH,,
265,2021,dt_265,,,2021,,2021,Nghiên cứu xây dựng nền tảng mô phỏng tấn công mạng tùy biến không dây di động trên Omnet++,Hoàn thành,"Đề tài, dự án NCKH cấp trường",,
268,2024,dt_268,,,2024,,2024,"Xây dựng công cụ thử nghiệm hỗ trợ nhập điểm, đối sánh dữ liệu điểm từ ảnh bảng điểm viết tay với dữ liệu trên phần mềm quản lý đào tạo Trường Đại học Nha Trang",Hoàn thành,Hướng dẫn sinh viên làm đề tài NCKH,,
269,2024,dt_269,,,2024,,2024,Xây dựng hệ thống giám sát và điều khiển nhà yến thông minh,Hoàn thành,"Đề tài, dự án NCKH cấp Bộ/Tỉnh",,
270,2023,dt_270,,,2023,,2023,Xây dựng công cụ hỗ trợ giám sát thi trực tuyến tại trường Đại học Nha Trang,Hoàn thành,Hướng dẫn sinh viên làm đề tài NCKH,,
271,2020,dt_271,,,2020,,2020,"Nghiên cứu topic modelling, thử nghiệm phân lớp tự động các ý kiến phản hồi của người học Trường Đại học Nha Trang",Hoàn thành,"Đề tài, dự án NCKH cấp trường",,
273,2020,dt_273,,,2020,,2020,Xây dựng khóa học trực tuyến Hướng dẫn giảng viên triển khai giảng dạy bằng công cụ E-Learning trong mô hình đào tạo kết hợp (Blended learning) tại trường Đại học Nha Trang,Hoàn thành,"Đề tài, dự án NCKH cấp trường",,
290,2024,dt_290,,,2024,,2024,Nghiên cứu ứng dụng trí tuệ nhân tạo trong việc phát hiện tấn công lừa đảo (Phising): Thử nghiệm trường hợp Web Phising,Hoàn thành,Hướng dẫn sinh viên làm đề tài NCKH,,
293,2026,dt_293,,1776430461158,,,,ádasdasd,Đang thực hiện,,,
